Word-Id,Word-Text
d10d914f-4e5e-4f4e-8d59-dde9af2b58bf,Dhakarey
bcf6582b-2ceb-4c43-8adc-b138ac061171,et
94fd2019-3d85-4eb0-9483-4cb3f0364725,al.
6866466c-198b-4883-9eb4-223b867af04f,Rice
42a97642-c1eb-4201-85f3-b4a6ecbabe68,JA
03727bc1-789f-4419-91ff-87a1235dd4e2,and
e19b6d62-6101-4d41-bb59-e79a7a4b72f9,Drought
f595a455-f1c9-4c15-a99f-f4d987aba6d8,Tolerance
1bf42f50-82cd-4101-970f-eb042aedc36b,or
dfdf9654-d79d-4e32-a1f8-1d70f22ba65c,greater
a6c3c492-c335-44b9-88a3-44d2fe226373,(2-fold
2608293e-a8f1-42ba-8464-593b32297b3d,more)
2a5d9d1d-9040-4933-907d-dc79d116be72,was
ce3f073f-c68c-4952-8a18-c72cb732d10d,used
f4466df3-99a3-4ca4-9c4c-578481eb34c9,as
d599037e-217b-42e3-ad62-c187233e44bc,a
0f1d2a87-d83c-42f4-adcf-a591df0abc55,criterion
be241dd8-0523-4aa4-a5b7-ae6bac6fbac1,for
9a450875-ce1e-47e2-a6ef-df7fd60fe080,comparative
2b1969de-a062-42c9-8c1c-21bf3f4d09b9,chromatography
12b52987-fce9-46ae-b722-de6a29d85b83,with
2b767bcd-5fbb-4a64-8e43-9298ebb3548e,pulsed
43e85990-2b39-40d7-b697-ccb993fc8ee4,amperometric
5e8db6a4-4804-4e78-8b05-ef57ba084da7,detection
b5e76a12-c68c-4bb4-b5de-dc4cd9367373,(HPAEC-
6f48a3c5-2ea7-47ac-8bdc-56da7d178252,abundance
59b0c62e-a6b9-4a90-bcfb-0bf3f57eccea,of
85f0c8ba-ddf1-49b5-bae8-ccb2c11e4cfb,the
32ddd111-a695-4136-91a9-f5fef74321dd,protein
80e190ae-9224-40d3-ab04-6d84be6a995f,in
15e93b7f-3c25-4621-b65c-a9960f765851,one
810e2dfe-f454-4ac0-9d56-f40aded0e98f,genotype.
0ebea09e-d22c-41c1-87a2-0c46ee3d8b09,"Conversely,"
1a68dfe7-af84-4f67-bdac-47c740b5d58f,proteins
bc552af4-782a-4a83-8a4e-2584a3fa7900,PAD)
f2559fe5-8422-4801-9c6b-88bac709d3b4,as
83f23561-df75-47f3-ab43-ae20a939f576,described
32fba312-2257-4656-93fe-1bfbd1c4766f,in
700cb366-e363-42a2-be1d-e23f7d2f48e1,Schafer
34d72d9f-1c60-4d93-a8e1-984017ec9907,et
a1ec6b3c-2ddf-4471-a3e3-aa9d10d0038d,al.
204bb167-71c8-4839-a26d-9b719710f9b2,(2016).
787f0fa0-8444-4536-b39d-16c08717b928,having
881035e1-26ca-40bc-8a85-8cc67b80183d,log
b9b5e083-1254-4043-acf3-882d3e0b60a4,ratios
aaee5712-171e-4d4c-93bf-53f38a3f6700,lower
b120e9c6-d72b-4c78-9fd5-63418c0d31fb,than
a7ad3899-5ae4-4e34-a388-f301cb4f23c6,1.0
eaf29634-3ebd-43aa-8a98-3c260bd52696,(2-fold
7522ff60-d28c-4a39-9eb8-6f2770315aa8,less)
91a298c9-1289-4c07-995a-69bfa91aa31e,were
d0bf4a3c-b320-4d25-97d3-3621ea424379,considered
f8d7c7aa-39b9-420b-90b7-dcf57007ae0a,comparatively
7ca6c260-18a9-4c95-b5b5-015b5be2fb20,less
42fa7e53-a284-4733-bae3-8e2293e1413e,abundant.
da31aa2d-60ae-4e10-8295-5cb0bf388a3c,Histology
dee24220-3b13-43f7-8e27-3d7c15167f24,of
73d12b44-f871-456d-bb21-f06acaaecc87,Root
302152b2-63aa-472f-85d0-08ba4159a6d8,Tissue
035a4b39-8ab2-4880-979b-73f375a4c6c9,WT
bdac6bca-d8f9-48c4-a1b5-2e7584a3cd25,and
2cc3076d-20b0-4a39-a1f8-7a467f3c1b18,cpm2
bc8f352b-fe86-40e4-b08c-c98ce4d1b605,seedlings
649a8c88-1070-4381-be33-07937d8af1d1,were
8153085d-a088-4966-a0f5-035885ef79b2,grown
69b0ccf1-8742-4ac7-af24-526c5d53f119,in
6d5197c4-3db3-47e9-be0d-f6c629b28f29,a
4d5cf2b7-3bb0-475b-a819-cc025b1b02a1,phytochamber
fd9e35b5-bf3f-437a-a284-f79406ccbf7c,Quantitative
710dc614-a3f3-4f40-9136-54b88b98ee50,Reverse
a0ce194c-0d5e-4cd9-878b-692aaf351bcc,Transcriptase
0b4ed811-cd9c-40fd-a018-aebdb9bd2012,PCR
f4e6e0fe-1bce-4f01-9630-94402934ee63,(BBC
3a129bd2-2d5d-47ec-8431-285c8943d370,"York,"
ce22bc16-f4bf-4dcc-85a7-95df9e89af85,"Mannheim,"
a6a05fe5-b304-425f-9eb5-d650f12425e8,Germany)
e5835a89-82ce-42d2-aa5e-77dd11c8ed26,as
7fe802f1-1632-46d4-94ad-773663b8e515,described
a4ffcf7c-a2ea-4ea1-b0bb-5f7cbb88cee6,above.
9d625298-8cae-462d-a975-955199402046,Root
a6f6e0a0-aa0f-4e4d-905d-a2040799f1a0,(qRT-PCR)
15e13579-2473-4a07-9279-475aaf50f2e1,Analysis
1e6c4ed4-a009-4380-ade1-313891ffbe95,of
